Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,72|79|78|73|65|73|91|77|71|77|78|63|58|70|69|63|64|74|48|71|75|75|88|86|80|78|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,72|79|78|73|65|73|91|77|71|77|78|63|58|70|69|63|64|74|48|71|75|75|88|86|80|78|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|72|79|78|73|65|73|91|77|71|77|78|63|58|70|69|63|64|74|48|71|75|75|88|86|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|72|79|78|73|65|73|91|77|71|77|78|63|58|70|69|63|64|74|48|71|75|75|88|86|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,3209|72|79|78|73|65|73|91|77|71|77|78|63|58|70|69|63|64|74|48|71|75|75|88|86|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,3209|72|79|78|73|65|73|91|77|71|77|78|63|58|70|69|63|64|74|48|71|75|75|88|86|158|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|61|57|49|42|36|41|50|44|38|48|42|36|37|33|42|37|40|40|27|38|46|46|49|51|53|,3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|35|27|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|35|27|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|35|27|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|62|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|62|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,1238|3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|62|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,1238|3209|11|22|29|31|29|32|41|33|33|29|36|27|21|37|27|26|24|34|21|33|29|29|39|62|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|2871|8|16|22|20|23|23|29|25|22|22|26|18|14|26|18|17|19|24|15|24|24|21|27|28|,1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|12|7|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|12|7|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|12|7|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|19|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|19|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,122|1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|19|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,122|1238|338|3|6|7|11|6|9|12|8|11|7|10|9|7|11|9|9|5|10|6|9|5|8|19|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|1035|224|3|4|4|6|3|5|7|6|8|3|6|4|2|7|7|6|3|6|4|4|2|6|8|,122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|2|4|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|2|4|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|2|4|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|6|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|6|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,127|122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|6|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,127|122|203|114|0|2|3|5|3|4|5|2|3|4|4|5|5|4|2|3|2|4|2|5|3|6|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|95|109|57|0|0|1|1|0|2|2|0|2|2|0|3|3|3|1|2|0|1|2|3|1|2|,127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
4,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,73|127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,73|127|27|94|57|0|2|2|4|3|2|3|2|1|2|4|2|2|1|1|1|2|3|0|2|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|101|11|38|16|0|1|1|2|1|0|1|0|0|0|2|2|1|1|1|0|0|0|0|1|1|,73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|1|1|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|1|1|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|1|1|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,65|73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,65|73|26|16|56|41|0|1|1|2|2|2|2|2|1|2|2|0|1|0|0|1|2|3|0|2|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|57|14|7|20|15|0|0|0|1|0|0|1|2|0|1|0|0|0|0|0|0|0|2|0|0|,65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|0|1|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|0|1|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|0|1|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|1|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|1|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,106|65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|1|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,106|65|16|12|9|36|26|0|1|1|1|2|2|1|0|1|1|2|0|1|0|0|1|2|1|1|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|50|8|5|1|9|9|0|0|1|0|2|0|0|0|0|1|0|0|1|0|0|0|1|1|0|,106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,27|106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,27|106|15|8|7|8|27|17|0|1|0|1|0|2|1|0|1|0|2|0|0|0|0|1|1|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|80|8|4|3|4|7|6|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|1|0|,27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|,27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,0|27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,20|27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,20|27|26|7|4|4|4|20|11|0|1|0|1|0|1|0|0|1|0|2|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|18|11|6|1|1|2|9|3|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|,20|9|15|1|3|3|2|11|8|0|1|0|1|0|1|0|0|1|0|1|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
